|Название (ссылка)                                                                    |Страна происхождения                                                                               |Основная научная  тематика              |Доступность              |Тип системы                                                                               |Форматы данных                                                                             |Функции                                                                                          |Размер базы данных                                                                              |Целевая аудитория                                                                                                                                                                                                                                                                     |Специализация                                                                                                                                     |
|[Консультант+ справочно-правовая система](https://www.consultant.ru/)|Россия|Право, нормативно-правовые акты, судебная практика, бухгалтерия|Платная подписка (организации, корпорации, государственные учреждения, учебные заведения)|СПС (справочно-правовая система), десктоп + облачный доступ, мобильный клиент|DOC, RTF, PDF, HTML, XLS, XML (экспорт/выгрузка документов, форм отчётности, шаблонов, реестров), поддержка XSD-схем для электронных реестров|Поиск и работа с нормативными актами, сравнение редакций, экспертные комментарии, формы документов, судебная практика, путеводители, онлайн-обновление, интеграция с внешними сервисами, мобильный доступ, шаблонизаторы/конструкторы исков и договоров, индивидуальные профили, экспорт данных|База: более 307 млн документов (на 2025 год). Оперативное ежедневное пополнение актуальными данными|Юристы, бухгалтеры, кадровики, руководители, специалисты по госзакупкам, аудиторы, государственные, образовательные и коммерческие структуры|Право, законодательство, судебная практика, бухгалтерия, кадровое дело, налогообложение, госзакупки, консультации|
|[Dimensions](https://www.dimensions.ai/)|Великобритания/США|Все научные дисциплины, междисциплинарные исследования, ориентирован на анализ науки|Freemium: базовый доступ открыт, расширенные модули и API — по подписке (университеты, корпорации, госорганы)|Платформа анализа и визуализации научных данных; корпоративная веб-платформа, API, интеграция с BigQuery для анализа|Экспорт: CSV, XLSX, BibTeX, RIS, PDF. Данные: публикации, патенты, гранты, клинические исследования, проекты, отчеты, профили организаций и исследователей, Open Access full-text|Поиск по всем видам научных данных; ландшафтный и трендовый анализ; визуализация связей; аналитика цитирования; поиск грантов, патентов, публикаций; профили организаций и исследователей; экспорт данных; API и интеграция в рабочие процессы|Более 160 млн публикаций, 150 млн патентов, 5,5 млн грантов, 1,5 млн наборов данных, сотни тысяч клинических испытаний (2025), 70% полнотекстовая индексация|Университеты, исследовательские институты, библиотеки, корпорации, фонды, госорганы, аналитики, менеджеры проектов, исследователи, издательства|Анализ науки, научно-техническая разведка, поиск финансирования, научные коммуникации, выявление связей, интеграция корпоративных данных и in-depth аналитика|
|[Scopus Elsevier](https://www.scopus.com/home.uri)|Нидерланды/США|Все научные дисциплины, кроме гуманитарных и искусствоведения|Платная подписка (институты, организации, университеты)|Междисциплинарная библиографическая и реферативная база, онлайн-платформа, API, интеграция с другими продуктами Elsevier|Экспорт: CSV, Excel, BibTeX, RIS, PDF (метаданные публикаций, цитирования, анализ авторов и журналов, профили организаций, аналитика)|Поиск научных публикаций, индексирование журналов, анализ цитирования, построение авторских и институциональных профилей, сравнение журналов по показателям CiteScore, SJR и др., библиометрический анализ лидеров научных направлений|Более 90 млн публикаций (2025), 25 100+ журналов, 44 млн патентов, миллионы профилей авторов и организаций, ежедневное обновление|Академические и научные организации, аналитики, разработчики политик в сфере науки, исследователи, библиотеки, университеты, издательства, компании|Библиометрия, индексация, мониторинг и аналитика публикаций, анализ цитирования, поддержка научной коммуникации и отчетности|
|[Lens.org](https://www.lens.org/)|Австралия/США|Все дисциплины: наука, техника, медицина, общественные науки, патенты, биоинформатика|Полностью открытый доступ, бесплатная регистрация, расширенные сервисы для организаций|Агрегатор научных публикаций, патентов и биологических секвенций. Веб-платформа, API, интеграция с внешними источниками|Экспорт: JSON, CSV (до 50 000 записей), RIS, BibTeX. Импорт и работа с профилями, графиками, коллекциями|Поиск публикаций, патентов, биосеквенций; библиометрический анализ; визуализация связей; профили исследователей и организаций; PatCite — анализ цитирования статей в патентах; коллекции, оповещения, API для интеграции|236 млн научных публикаций, 134 млн патентов, 393 млн биологических последовательностей; ежедневное обновление (2025)|Исследователи, ученые, организации, патентные аналитики, биоинформатики, магистраты, университеты, госструктуры|Открытый библиометрический анализ, патентная аналитика, поиск по биосеквенциям и наукометрия, бесплатные инструменты для комплексного поиска|
|[Sci-hub](https://sci-hub.st/)|Казахстан (основатель), международный|Все научные дисциплины, любые тематики|Полностью бесплатный и анонимный, без регистрации, зеркала часто меняются|Платформа доступа к платным научным публикациям и статьям, "теневая библиотека", веб-интерфейс|PDF (скачивание статей по DOI, названию, ссылке); прокси для прямого доступа к полному тексту|Быстрый поиск и мгновенное скачивание научных статей из закрытых (платных) журналов, работа без авторизации, обход блокировок издательств, огромная полнотекстовая коллекция|База: более 90 млн научных статей, сотни крупнейших журналов, ежедневное пополнение, 650+ млн скачиваний; активно используется в 200+ странах|Студенты, учёные, исследователи, преподаватели, независимые авторы, пользователи из стран с ограниченным доступом, любой желающий|Свободный доступ к современным и архивным научным публикациям, обход платных барьеров, справедливая диссеминация знаний|
|[PapersWithCode](https://paperswithcode.com)|Великобритания/США|Искусственный интеллект, машинное обучение, глубокое обучение, компьютерное зрение, NLP, ML-бенчмарки|Полностью открытый доступ, регистрация не обязательна; сотрудничество с arXiv, HuggingFace|Онлайн-платформа с коллекцией научных статей, кодом, датасетами, API для интеграции|Экспорт: JSON, CSV, BibTeX, RIS, ссылки на репозитории (GitHub, HuggingFace); загрузка и публикация данных|Поиск и сравнение статей по ML, сопоставление с публичным кодом, анализ популярных задач и моделей, бенчмарки, агрегатор датасетов, прямые переходы к коду, совместная разметка и обсуждения, мета-аналитика по результатам соревнований и исследований|>95 000 статей с кодом, десятки тысяч датасетов и бенчмарков (2025), еженедельное обновление|Исследователи, ML/AI-инженеры, преподаватели, студенты, open-source-сообщество, практики машинного обучения|Современные ML/AI исследования, доступ к рабочему коду, бенчмаркинг, open-source-подход, интеграция с публикациями и соревнованиями по ML|
|[ResearchGate](https://www.researchgate.net)|Германия/международная|Все научные дисциплины, преимущественно STEM, медицина, биология, инженерия и смежные|Бесплатно для исследователей (после регистрации и подтверждения статуса); платформа интегрирована с ORCID, PubMed|Академическая социальная сеть, база научных работ, платформа для коллаборации, поиск и обмен публикациями, семантический поиск|Форматы: PDF (загрузка/выгрузка публикаций), Excel (экспорт аналитики), CSV, RIS, BibTeX, интеграция с внешними репозиториями|Публикация и совместное обсуждение научных работ; поиск и скачивание статей; семантический поиск, аналитика цитирования, профили авторов и организаций, вакансии, Q&amp;A форумы, группы, уведомления по тематикам, пропаганда открытой науки|>25 млн пользователей (2025), более 150+ млн публикаций, миллионы сообществ|Исследователи, преподаватели, аспиранты, организации, инициативные группы, университеты, научные фонды, разработчики|Академическая коллаборация, продвижение научных исследований, экспертное обсуждение, мониторинг цитирования, персональные научные профили|
|[Academia.edu](https://www.academia.edu)|США/международная|Все науки: гуманитарные, социальные, технические, междисциплинарные исследования|Базовый функционал — бесплатно, премиум-подписка — платно; для исследователей и студентов|Академическая социальная сеть, репозиторий для открытого доступа к публикациям, платформа коммуникации|PDF (загрузка/выгрузка публикаций); BibTeX, RIS, Excel (экспорт метрик); ссылки, email-уведомления; интерфейс для коллективных обсуждений|Публикация и распространение научных работ, формирование профиля, аналитика просмотров и цитирований, поиск коллег, обмен сообщениями, тематические группы, отслеживание обсуждений и вакансий|>267 млн пользователей (2025), >55 млн научных документов, еженедельное обновление|Ученые, преподаватели, аспиранты, студенты, инициативные сообщества, научные фонды, образовательные учреждения|Междисциплинарные коммуникации, распространение знаний, поддержка открытого доступа и сетевых коллабораций|
|[Statista](https://www.statista.com)|Германия, международная команда|Экономика, рынки, потребительское поведение, цифровые технологии, маркетинг, финансы, социология, демография, промышленность, международная статистика|Платная подписка для организаций и частных лиц, ограниченный открытый доступ к отдельным метрикам|Комплексная статистическая и аналитическая онлайн-платформа: агрегатор, визуализатор, инструмент отчетности, публикация отраслевых обзоров|Экспорт: PDF, Excel (XLSX), PowerPoint, PNG, CSV, XLS, API для интеграции; интерактивные графики, таблицы|Поиск и анализ статистических данных, визуализация и сравнение рынков, экспорт отчетов, построение собственных презентаций, Country и Market Outlooks, отраслевые обзоры и прогнозы, потребительские и B2B исследования, API, интеграция презентаций|Более 1 000 000 статистик и отчетных точек, 22 500+ источников, 800+ сотрудников, охват — 190+ стран, ежемесячное обновление|Бизнес-аналитики, компании, исследователи, университеты, госорганы, стратеги, маркетологи, журналисты, инвесторы, преподаватели|Макроскопический рыночный/страной анализ, интерактивные дашборды, рыночные срезы, бизнес-статистика, быстрая подготовка аналитических материалов|
|[Wolfram Alpha](https://www.wolframalpha.com)|США/Великобритания|Математика, естественные науки, техника, экономика, социальные науки, медицина|Базовый доступ бесплатен, PRO-подписка (доп. функции, загрузка файлов, выгрузка и анализ изображений/аудио/таблиц)|Веб-платформа, вычислительный движок знаний, API (встраивание в сайты, приложения), плагины для разных систем|220+ форматов: Excel, CSV, PDF, JSON, PNG, SVG, XML, изображения, звук, спец. форматы Mathematica; API, выгрузка таблиц и анализ пользовательских данных|Решение математических, научных, инженерных, финансовых и прикладных задач; построение графиков; анализ и визуализация данных; символьные и численные вычисления; модели; самостоятельный импорт и анализ пользовательских данных (в Pro-версии, через загрузку файлов); API, кастомизация под задачи|Многотеррабайтная вычислительная база, тысячи предметных областей, тысячи встроенных функций, ежечасное обновление|Студенты, школьники, преподаватели, инженеры, ученые, аналитики, разработчики, компании, интеграторы образовательных продуктов|Экспертные вычисления, анализ данных, визуализация, API-встраивание, online-интерактив, поддержка STEM-образования, автоматизация профессиональных расчетов|
|[Elicit](https://elicit.com)|США|Междисциплинарный: биомедицина, машинное обучение, психология, эмпирические научные исследования|Freemium: базовый функционал бесплатен, есть премиум-планы (дополнительные возможности, массовый экспорт); доступ без регистрации ограничен|AI‑платформа для ускоренного поиска, анализа, систематизации и реферирования научных статей; web-интерфейс, ограниченный API|Экспорт: CSV, JSON, автоматические таблицы и summary; загрузка и анализ собственных PDF, интеграция с Zotero|Автоматизированный поиск, семантическое суммирование, извлечение данных и ключевых результатов, создание систематических обзоров, сравнительные таблицы, отбор релевантных исследований, аналитика, анализ полнотекстовых статей|125+ млн научных статей (Semantic Scholar, PubMed, Crossref и др.), до 500 релевантных статей на запрос, ежедневное обновление|Исследователи, студенты, аналитики, медицинские специалисты, научные команды, data scientists, образовательные организации|Автоматизация литературных обзоров, систематизация эмпирических данных, анализ и мета-анализ, интеграция в процессы научных исследований|
|[Zeta Alpha](https://www.zeta-alpha.com)|Нидерланды, международная команда|ИИ, машинное обучение, глубокое обучение, тематический и семантический поиск по научным и промышленным данным, корпоративная экспертиза|Платформа SaaS (облачная/он-премис), коммерческая подписка (каталогизация, ИИ-поиск, кастомные агенты и Deep Research), бесплатные демо-возможности и тестовый доступ|Корпоративная AI-платформа: Discovery Platform, RAG и AI Agents, интеграция внутренних/внешних источников, API для RAG и поиска, экспорт результатов в PDF/Markdown|Экспорт: PDF, Markdown, визуализации (VOSviewer), API (Python), интеграция внутренних и внешних баз, поддержка форматов для Enterprise Search|Гибридный поиск (keyword+neural), кластеризация и визуализация научных тем, генерация объяснимых отчетов, распознавание и анализ PDF/таблиц/графиков, персональные коллекции, теги, совместная работа, кастомизация под задачи организации, автоматическая генерация обзоров|Сотни тысяч и миллионы документов и объектов (2025), работа с крупными корпоративными knowledge bases, масштабируемость для крупных команд|Корпорации, AI-команды, R&D, университеты, индустриальные исследовательские отделы, data scientists, инженеры знаний, B2B и Enterprise|AI-поиск и аналитика для науки, промышленности и корпоративных знаний, индивидуальные агентов и глубокий обзор, решения для защиты и управления интеллектуальной собственностью|
|[scite.ai](https://scite.ai)|США/международная|Мультидисциплинарная научная литература: биомедицина, STEM, социология, общественные науки|Freemium (базовая версия бесплатна, премиум — подписка для расширенных функций и API)|AI-powered research platform: web-интерфейс, расширение для браузеров (Google Scholar, PubMed), интеграция с Article Galaxy и Zotero; API для корпоративных пользователей|Экспорт: CSV, XML, RIS, JSON; визуализации, цитатные отчеты, Markdown, PDF|AI-поиск и анализ публикаций, "Smart Citations" — контекст цитирования (supporting/contrasting/mentioning), Research Assistant — AI-ответы на научные вопросы с источниками, поисковые дашборды и отчеты, citation chaining, мониторинг ссылок и Q&A, анализ надежности источников|>200 млн работ, >1.2 млрд цитатных заявлений, >34 млн с полнотекстовым доступом; ежедневное обновление|Научные исследователи, преподаватели, студенты, академические организации, издательства, журналисты, компании, аналитики, библиотеки|Контекстуальный анализ цитирования, поиск и оценка доказательной научной информации, структурированный анализ публикаций, прозрачность и качество ссылок|
|[Connected Papers](https://www.connectedpapers.com/)|Израиль/международная|Все науки, акцент на STEM, CS, биомед, техн.|Freemium: до 5 графов/мес (free), Premium — неограниченно, без регистрации ограниченный функционал|Веб-приложение, визуализация научных связей по методу co-citation и bibliographic coupling; интеграция с Semantic Scholar|Экспорт: BibTeX, RIS, CSV, списки литературы для Zotero/EndNote/Mendeley, PDF отчеты|Построение интерактивных графов публикаций по теме или seed paper, анализ сходства без прямых цитат, расширение списка публикаций, prior/derivative works, временная ось, визуализация связи, фильтрация по дате/цитируемости|Поиск ведётся среди ~50 000 проанализированных работ на граф, охват — десятки миллионов работ через Semantic Scholar, частое обновление|Исследователи, аспиранты, студенты, преподаватели, научные и корпоративные команды|Визуализация поля исследований, быстрое обнаружение литературы и трендов, создание и расширение библиографии, визуальный анализ тематики|
|[ResearchRabbit](https://www.researchrabbit.ai/)|США/международная|Мультидисциплинарная научная литература, преимущественно STEM, биомедицина, социология|Полностью открыт (free), требуется регистрация; командная работа — бесплатно|Веб-платформа (cloud-based), AI-асистент для визуального поиска по citation, timeline и авторским сетям; интеграция с Zotero, Mendeley, EndNote, BibTeX|Экспорт: BibTeX, RIS, CSV, экспорт коллекций в Word/EndNote/Zotero/менеджеры, визуальные графы|AI-поиск, умные рекомендации новых публикаций и авторов, интерактивное построение citation maps и timeline, авторские сети, фильтрация по тематикам, co-citation, коллаборативная работа, отслеживание трендов|База данных строится на основе Semantic Scholar, PubMed и др.; сотни миллионов статей и citation связей|Индивидуальные исследователи, студенты, исследовательские команды, преподаватели, PhD-группы|Визуализация сети публикаций и авторов, обнаружение ключевых работ, ускорение обзоров, совместная навигация по ландшафту исследований|
|[Litmaps](https://www.litmaps.com)|Новая Зеландия/международная|Мультидисциплинарная научная литература, все науки, акцент на STEM|Freemium: базовый функционал бесплатен (2 сетевые карты одновременно), Premium — неограниченно, демо-доступ без регистрации|Веб-приложение, AI-платформа для визуализации и отслеживания научных цитатных сетей, интеграция с Zotero, Paperpile, импорт/экспорт BibTeX/RIS|Экспорт: BibTeX, RIS, CSV, PDF; визуализации citation maps; интеграция с менеджерами ссылок, Word/Mendeley/EndNote|Построение интерактивных сетей публикаций по ключевым словам, автообнаружение новых работ, визуальный анализ связи публикаций (по времени, цитированиям, «momentum»), коллаборация, метки и фильтры|>270 млн статей (на 2025 год, данные: Semantic Scholar, Crossref, OpenAlex и др.), покрытие журналов с 1400 года, обновление ежедневно|Индивидуальные исследователи, студенты, лаборатории, преподаватели, коллаборативные команды, университеты|Визуализация сети работ, быстрое обнаружение ключевых публикаций и трендов, контролируемая карта литературы, интеграция с reference-менеджерами|
|[Springer Nature](https://www.springernature.com/)|Германия/Великобритания/международная|Все научные дисциплины, вкл. STEM, биомедицину, социальные/гуманитарные науки|Частично открытый — значительная доля статей в бесплатном доступе (Open Access), подписка для полного доступа; поддержка OA-модели и институциональных соглашений|Международное научное издательство, крупнейший каталог журналов (Springer, Nature Portfolio и др.), SpringerLink|Форматы: PDF, HTML, EPUB, XML, docx; экспорт цитат в BibTeX, RIS, RefWorks, EndNote; интеграция с reference-менеджерами, API|Публикация журналов, книг, глав, справочников, поддержка OA, внедрение AI для публикационного workflow, прозрачное рецензирование, аналитика цитирований, интеграция с библиотеками, мобильные форматы, мультиязычный доступ, авторские скидки и бонусы|3 000+ журналов, 300 000+ книг, 9+ млн материалов на SpringerLink, более 5 млн публикаций в архивах, >482 тыс. новых статей в 2024, 3,7 млрд загрузок в год, 2,3 млн заявок в год|Исследователи, преподаватели, студенты, институты, библиотеки, издательства, политики, профильные компании|Крупнейшая платформа публикаций статей и книг, интеграция Open Access, автоматизация публикационных процессов, поддержка исследовательских платформ, мультиформатный и многоязычный контент|
|[Wiley](https://www.wiley.com/)|США/международная|Мультидисциплинарная: STEM, медицина, общественные, гуманитарные науки, инженерия|Частично открыт: Open Access журналы и архивы, полные коллекции — по подписке; поддержка институциональных программ|Ведущее международное научное издательство: Wiley Online Library, базы журналов и книг, инструменты для авторов, обучения и open access|PDF, HTML, EPUB, XML; экспорт в BibTeX, RIS, EndNote, RefWorks, интеграция через ORCID, API, Excel, Word, мобильные и облачные форматы|Публикация и распространение журналов, книг, энциклопедий и справочников; Open Access, аналитика цитирования, инструменты проверки рукописей и авторских метрик, интеграция с reference-менеджерами, обучение и поддержка авторов|>1 700 журналов, >22 000 книг, 250+ справочников; многомиллионная база статей и материалов; >350 Нобелевских лауреатов — авторов Wiley; ежегодно сотни тысяч публикаций|Исследователи, университеты, преподаватели, студенты, библиотекари, компании, государственные и частные фонды|Крупнейшая платформа публикаций, поддержка Open Access, обучение, аналитика, инструменты публикационной экосистемы|
|[РИНЦ (Российский индекс научного цитирования)](https://elibrary.ru/project_risc.asp)|Россия|Все отрасли российской науки (технические, естественные, социальные, гуманитарные, медицина)|Бесплатный доступ к метаданным и аналитике, полный текст — по условиям журнала, для организаций есть коммерческие и специальные сервисы|Национальная российская библиографическая и наукометрическая система, агрегатор публикаций и цитирований, система ScienceIndex|Экспорт: Excel, CSV, XML, PDF, форматы для reference-менеджеров (BibTeX, RIS), внутренний отчетный формат, API для организаций|Поиск, анализ и экспорт публикаций по авторам/организациям/журналам, отчетные инструменты для вузов и НИИ, построение наукометрических показателей (Хирш, i-индекс, импакт-фактор), оценка журналов, интеграция с eLIBRARY.ru, экспорт мероприятий, выгрузка рецензий|>26 млн публикаций (2025), >6000 российских журналов, >600 тыс. авторских профилей, ежедневное обновление|Российские исследователи, университеты, НИИ, министерства, госорганы, редакции журналов, преподаватели, студенты|Оценка и библиометрия публикационной активности российских авторов и организаций, интеграция отчетности для НОЦ, министерств, научных отделов|
